# FACILITY: LCO
# DATE-OBS: 2024-11-23
wavelength flux
3.321120862587762986e+03 4.621081948280334277e-21
3.324566700100300750e+03 3.497791290283202752e-19
3.328012537612838514e+03 5.716028976440429820e-19
3.329735456369107396e+03 4.408691406249999512e-18
3.336627131394182470e+03 4.473631640625000081e-16
3.338350050150451352e+03 5.655803124999999557e-16
3.340072968906719780e+03 7.611100781249999427e-16
3.341795887662988662e+03 6.071361328124999971e-16
3.343518806419257544e+03 6.501403906249999785e-16
3.345241725175526426e+03 7.328692968749999440e-16
3.346964643931795308e+03 7.007840624999999786e-16
3.348687562688064190e+03 6.865612499999999304e-16
3.350410481444332618e+03 6.347200781249999735e-16
3.352133400200601500e+03 6.193283984374999904e-16
3.353856318956870382e+03 6.864883593749999389e-16
3.355579237713139264e+03 5.279911718750000125e-16
3.357302156469408146e+03 7.333822656249999838e-16
3.359025075225677028e+03 8.572848437499999157e-16
3.360747993981945456e+03 6.250240625000000058e-16
3.362470912738214338e+03 6.175463671874999603e-16
3.364193831494483220e+03 5.590528515625000117e-16
3.365916750250752102e+03 4.898077734375000217e-16
3.367639669007020984e+03 6.439180468749999760e-16
3.369362587763289412e+03 8.458836718749999809e-16
3.371085506519558294e+03 5.417157421874999825e-16
3.372808425275827176e+03 7.816005468749999211e-16
3.374531344032096058e+03 6.595926562499999510e-16
3.376254262788364940e+03 4.911663671874999657e-16
3.377977181544633822e+03 7.257691406249999159e-16
3.379700100300902250e+03 7.051582031249999332e-16
3.381423019057171132e+03 5.871575781250000019e-16
3.383145937813440014e+03 7.255417187499999391e-16
3.384868856569708896e+03 6.548141406249999295e-16
3.386591775325977778e+03 6.204146093749999172e-16
3.388314694082246206e+03 7.056208593749999594e-16
3.390037612838515088e+03 7.589256249999999872e-16
3.391760531594783970e+03 7.207934374999999962e-16
3.393483450351052852e+03 5.234879296874999808e-16
3.395206369107321734e+03 5.614680468749999871e-16
3.396929287863590616e+03 6.525567578124999402e-16
3.398652206619859044e+03 6.829509374999999142e-16
3.400375125376127926e+03 7.841157812499999799e-16
3.402098044132396808e+03 6.401696874999999648e-16
3.403820962888665690e+03 6.670920312499999881e-16
3.405543881644934572e+03 6.335463281249999808e-16
3.407266800401203000e+03 5.472192968749999743e-16
3.408989719157471882e+03 5.449054687499999416e-16
3.410712637913740764e+03 5.837257031250000056e-16
3.412435556670009646e+03 5.902770312499999420e-16
3.414158475426278528e+03 6.687849999999999801e-16
3.415881394182547410e+03 7.109516406249999468e-16
3.417604312938815838e+03 6.695302343750000121e-16
3.419327231695084720e+03 5.340202734374999488e-16
3.421050150451353602e+03 8.031864843749999837e-16
3.422773069207622484e+03 7.932777343749999586e-16
3.424495987963891366e+03 7.443842968749999940e-16
3.426218906720159794e+03 8.493273437499999240e-16
3.427941825476428676e+03 6.989936718749999745e-16
3.429664744232697558e+03 5.497347656249999909e-16
3.431387662988966440e+03 7.018032812499999859e-16
3.433110581745235322e+03 6.829526562499999992e-16
3.434833500501504204e+03 6.614290624999999534e-16
3.436556419257772632e+03 5.909065624999999991e-16
3.438279338014041514e+03 5.332692578124999716e-16
3.440002256770310396e+03 7.245485937499999669e-16
3.441725175526579278e+03 6.368510156249999991e-16
3.443448094282848160e+03 5.629937499999999198e-16
3.445171013039116588e+03 5.814228124999999759e-16
3.446893931795385470e+03 7.766552343749999532e-16
3.448616850551654352e+03 7.999407031249999109e-16
3.450339769307923234e+03 6.502558593749999956e-16
3.452062688064192116e+03 8.652888281249999200e-16
3.453785606820460998e+03 6.648666406250000075e-16
3.455508525576729426e+03 7.687906250000000006e-16
3.457231444332998308e+03 7.236008593750000071e-16
3.458954363089267190e+03 7.406839843749999113e-16
3.460677281845536072e+03 7.896920312499999490e-16
3.462400200601804954e+03 6.649866406249999976e-16
3.464123119358073382e+03 6.476342187499999644e-16
3.465846038114342264e+03 7.279878906250000074e-16
3.467568956870611146e+03 6.645050781249999241e-16
3.469291875626880028e+03 7.610531249999999414e-16
3.471014794383148910e+03 8.383486718749999482e-16
3.472737713139417792e+03 6.865272656249999354e-16
3.474460631895686220e+03 5.884407031249999255e-16
3.476183550651955102e+03 6.015878906249999651e-16
3.477906469408223984e+03 6.474413671874999264e-16
3.479629388164492866e+03 6.612189843750000094e-16
3.481352306920761748e+03 5.926811718749999849e-16
3.483075225677030176e+03 6.938219531249999455e-16
3.484798144433299058e+03 5.438957812499999932e-16
3.486521063189567940e+03 6.733227343749999648e-16
3.488243981945836822e+03 7.088474999999999285e-16
3.489966900702105704e+03 6.286417187499999817e-16
3.491689819458374586e+03 6.893610937499999252e-16
3.493412738214643014e+03 7.576064062499999553e-16
3.495135656970911896e+03 7.236083593749999386e-16
3.496858575727180778e+03 6.978026562499999348e-16
3.498581494483449660e+03 8.063082812499999949e-16
3.500304413239718542e+03 7.750501562499999146e-16
3.502027331995986970e+03 7.627568749999999644e-16
3.503750250752255852e+03 7.366489843749999355e-16
3.505473169508524734e+03 8.164366406249999244e-16
3.507196088264793616e+03 8.152564062499999159e-16
3.508919007021062498e+03 6.888317187499999796e-16
3.510641925777331380e+03 6.682127343749999665e-16
3.512364844533599808e+03 6.352313281249999283e-16
3.514087763289868690e+03 7.214403906249999735e-16
3.515810682046137572e+03 7.076988281249999566e-16
3.517533600802406454e+03 8.129429687499999115e-16
3.519256519558675336e+03 7.499328124999999275e-16
3.520979438314943764e+03 5.773311328124999989e-16
3.522702357071212646e+03 5.705283203124999806e-16
3.524425275827481528e+03 6.638910937499999274e-16
3.526148194583750410e+03 6.444791015624999865e-16
3.527871113340019292e+03 5.905923828125000130e-16
3.529594032096288174e+03 7.408346874999999942e-16
3.531316950852556602e+03 6.781981249999999983e-16
3.533039869608825484e+03 7.325109374999999741e-16
3.534762788365094366e+03 6.764600781249999379e-16
3.536485707121363248e+03 8.189192187499999462e-16
3.538208625877632130e+03 7.081928906249999491e-16
3.539931544633900558e+03 8.114195312499999653e-16
3.541654463390169440e+03 7.609756249999999910e-16
3.543377382146438322e+03 6.839444531249999147e-16
3.545100300902707204e+03 7.367693749999999539e-16
3.546823219658976086e+03 8.051442968749999203e-16
3.548546138415244968e+03 8.842210156249999147e-16
3.550269057171513396e+03 8.682124999999999059e-16
3.551991975927782278e+03 8.278649218749999088e-16
3.553714894684051160e+03 8.057564062499999587e-16
3.555437813440320042e+03 6.937657812500000008e-16
3.557160732196588924e+03 7.211708593749999853e-16
3.558883650952857352e+03 6.943316406249999844e-16
3.560606569709126234e+03 7.956833593749999315e-16
3.562329488465395116e+03 8.590381249999999944e-16
3.564052407221663998e+03 7.799075781249999292e-16
3.565775325977932880e+03 7.870687499999999174e-16
3.567498244734201762e+03 7.343874218749999592e-16
3.569221163490470644e+03 7.762128906249999184e-16
3.570944082246739072e+03 8.125713281249999662e-16
3.572667001003007954e+03 7.298483593749999178e-16
3.574389919759276836e+03 7.494214843749999867e-16
3.576112838515545718e+03 7.342829687499999310e-16
3.577835757271814145e+03 7.647371874999999916e-16
3.579558676028083028e+03 6.925396093749999798e-16
3.581281594784351910e+03 6.034980078124999593e-16
3.583004513540620792e+03 5.847871874999999962e-16
3.584727432296889674e+03 6.874708593749999505e-16
3.586450351053158556e+03 7.489003906249999306e-16
3.588173269809427438e+03 7.587457812499999246e-16
3.589896188565695866e+03 7.632956249999999971e-16
3.591619107321964748e+03 6.766013281249999478e-16
3.593342026078233630e+03 7.082137499999999406e-16
3.595064944834502512e+03 7.444985156249999403e-16
3.596787863590771394e+03 8.448097656249999588e-16
